,Intent,Label
0,@ArcticFantasy I would have almost took offense to this if I actually snapped you,anger
1,@IllinoisLoyalty that Rutgers game was an abomination. An affront to God and man. We must never speak of it again.,anger
2,"@CozanGaming that's what lisa asked before she started raging at me, 'can I call you?' heh",anger
3,Sometimes I get mad over something so minuscule I try to ruin somebodies life not like lose your job like get you into federal prison ,anger
4,Sometimes I get mad over something so minuscule I try to ruin somebodies life not like lose your job like get you into federal prison #anger,anger
5,I think @Sam_Canaday &amp; @KYLEJDOWSON must actually have to be working like me &amp; @dowson_brady because I havent got any snap chat videos today,anger
6,My eyes have been dilated. I hate the world right now with the rage of a thousand fiery dragons. I need a drink.,anger
7,"@huwellwell One chosen by the CLP members! MP seats are not for people to dole out to their mates, we elect candidates. #fuming",anger
8,"@huwellwell One chosen by the CLP members! MP seats are not for people to dole out to their mates, we elect candidates. ",anger
9,"@Yoshi_OnoChin can you please not have Canadian players play US players, that lag  is atrocious. #fixthisgame #trash #sfvrefund ",anger
10,@DailyMirror i love how theres no outrage that it's a white man but if it was a black man them BLM would be all over it regardless of reason,anger
11,"Me being on my dean really saving a lot of ppl, bc I don't snap nomore &amp; it take so much out of me..",anger
12,Sorry guys I have absolutely no idea what time i'll be on cam tomorrow but will keep you posted. #fuming,anger
13,Sorry guys I have absolutely no idea what time i'll be on cam tomorrow but will keep you posted. ,anger
14,"Is it me, or is Ding wearing the look of a man who's just found his arch enemy in bed with his missus? #angryman ",anger
15,"Is it me, or is Ding wearing the look of a man who's just found his arch enemy in bed with his missus? #angryman #scowl",anger
16,@__NETFLIXNCHILL I fuck with madden way harder,anger
17,@TrussElise Obama must be fuming.. lol,anger
18,Hate when guys cant control their anger 🙃🙃,anger
19,"[ @HedgehogDylan ] *she would frown a bit, folding her arms* 'why is it that every time I'm in need of assistance someone expects a lil **",anger
20,Literally fuming fuck sake,anger
21,@TrueAggieFan oh so that's where Brian was! Where was my invite? ,anger
22,@TrueAggieFan oh so that's where Brian was! Where was my invite? #offended,anger
23,"@DxfyingGrxvity - frustration, looking up at Elphaba in a frown of aggravation. Her high pitched voice was growing more and more --",anger
24,It's the most magical time of the year......Xmas party announced and the #outrage commences. Gotta love Silicon Valley millennials.,anger
25,"@LaureEve I am sitting here wrapped in a fluffy blanket, with incense burning, listening to Bon Iver and drinking mulled wine. I'm there.",anger
26,@RevTrevK @Wolfman93011 @Daraidernation @EROCKhd Take 2k out of it the numbers on madden are low and have dropped and people are unhappy,anger
27,I wouldn't have #anger issues.....if she didn't have #lying issues.....think about that one. #pow #lies #confusion,anger
28,@isthataspider @dhodgs i will fight this guy! Don't insult the lions like that! But seriously they kinda are.Wasted some of the best players,anger
29,Everybody talking about 'the first day of fall' but summer '16 is never gonna die #revenge @Drake,anger
30,The rage has died down.,anger
31,"Ananya just grabbed a bible, opened it, started reading, and then said 'where do they talk about burning people?'",anger
32,All Brian does is sleep and aggravate me,anger
33,@komal_sidhnani true...\nThey r burning with other's pleasure!\nPpl in true love happiness everywhere _😃,anger
34,@pbhushan1 @IndianExpress so in your opinion is this the worst delhi govt? #acrid #bitter #hypocrisy,anger
35,@pbhushan1 @IndianExpress so in your opinion is this the worst delhi govt? #acrid  #hypocrisy,anger
36,i live and die for mchanzo honeymoon crashing and burning the second they move in together,anger
37,For the first time in my madden career I just set up a farm account. Should make MOTM much easier,anger
38,@LeonWobYP b***er off. NCFC is a grudge match :),anger
39,Might just leave and aggravate bae,anger
40,"Realest ever, relentless ever, inevitable that I win.",anger
41,"Kik to trade, have fun or a conversation  (kik: youraffair) #kik #kikme #messageme #textme #pics #trade #tradepics #dm  #bored",anger
42,"Kik to trade, have fun or a conversation  (kik: youraffair) #kik #kikme #messageme #textme #pics #trade #tradepics #dm #snap #bored",anger
43,"You're so thirsty for the chance to disagree w/ the left, that you don't even realize when something is an affront to your bigoted platform.",anger
44,S/O to the girl that just hit my car...not only did she get lucky w/ no scratch but also from being spared the wrath of sleep deprived Kait🙃,anger
45,@LiamCannon1 He's just too raging to type properly... Ha ha!,anger
46,#oow16 #sting decent new song,anger
47,Ok scrubbed hands 5 times before trying to put them in.\nEyeballs #burning \n#EvenMoreBlind accidentally scared the #cat whilst #screeching,anger
48,Just joined #pottermore and was sorted into HUFFLEPUFF 😡😡😡 #fuming,anger
49,Just joined #pottermore and was sorted into HUFFLEPUFF 😡😡😡 ,anger
50,"@reluctantnicko Don't ask, you don't get. Apologies if I've offended you. All due respect Alan, I think you've been fed duff info.",anger
51,"I miss my gran singing Rawhide, in her deep baritone growl.",anger
52,Having a baby born too soon is #lifechanging 6 years on and it feels like only yesterday #sad #happy #angry #emotionalrollercoaster,anger
53,Having a baby born too soon is #lifechanging 6 years on and it feels like only yesterday #sad #happy  #emotionalrollercoaster,anger
54,@UKBlogAwards @ModishMale I would always be honest but it's great to feedback opinion to the brand - don't want to offend them #BlogHour,anger
55,@fluffysoftlouis no no. I insist that you give me your best insult first,anger
56,@SSheil coincidentally watched Ulzana's Raid last night - brutally indignant filmmaking.,anger
57,@RealJamesWoods @KennyCoble saddest part of this whole mess is that all of this #anger is #misdirected they should march 2 the #WhiteHouse,anger
58,"Note to self ~ Stop laughing at things that offend you, it's ok to get mad at people \n#NoteToSelf #offended #mad #upset",anger
59,"I think our defense here at USC is playing well, we just need to fix a few things on offense and we can win the PAC 12 this year'",anger
60,Eat my ass' is no longer an insult,anger
61,"Why to have vanity sizes?Now sizes S,XS(evenXXS sometimes) are too big, WTF?! Dear corporate jerks, Lithuania didn't need this. #rant #angry",anger
62,"Why to have vanity sizes?Now sizes S,XS(evenXXS sometimes) are too big, WTF?! Dear corporate jerks, Lithuania didn't need this. #rant ",anger
63,"@MaddenFreestyle i turn the game on wanting to play madden, and before i load up a game i just turn it off now.",anger
64,"@marcavis @AntisocialJW2 I've always been fiery, but never radical.",anger
65,"Taking umbrage because Jimmy Carr claimed that Bilbo Baggins went to Mordor on 8 out of 10 cats does Countdown. Know your Baggins', mate.",anger
66,"Anger, resentment, and hatred are the destroyer of your fortune today.",anger
67,"Anger, resentment, and hatred are the destroyer of your fortune today.'",anger
